dataset_id,endpoint,feature,type,n,estimate,ci95_lo,ci95_hi,perm_p,covariates,n_perm_done,n_boot_done,perm_q_within_ds004584,source,auc_flipped,model,perm_q_within_ds007020,auc_raw,perm_q,perm_q_global
ds004584,AUC_PD_vs_CN,dev_z_theta_alpha_ratio,auc,123,0.5264754550468836,0.4226872753857325,0.6334707982292015,0.6195190240487976,age;sex_num,20000.0,2000.0,0.9350032498375082,master_pdrest,,,,,,0.880768461576921
ds004584,LogitBeta_PD_vs_CN,dev_z_theta_alpha_ratio,logit_beta,123,0.0137594257135045,-0.3617473129588182,0.376137034365653,0.9350032498375082,age;sex_num,20000.0,2000.0,0.9350032498375082,master_pdrest,,,,,,0.9634518274086294
ds004584,AUC_PD_vs_CN,dev_z_rel_alpha,auc,123,0.5628792057363486,0.4509526330319038,0.6657505056858385,0.239538023098845,age;sex_num,20000.0,2000.0,0.8376581170941452,master_pdrest,,,,,,0.6408679566021698
ds004584,LogitBeta_PD_vs_CN,dev_z_rel_alpha,logit_beta,123,0.1465533157679316,-0.2506155752858591,0.572244671348891,0.4188290585470726,age;sex_num,20000.0,2000.0,0.8376581170941452,master_pdrest,,,,,,0.7911215550333593
ds004584,AUC_PD_vs_CN,dev_z_spectral_slope,auc,123,0.4536679536679536,0.350940644654088,0.5614623473428504,0.3859807009649517,age;sex_num,20000.0,2000.0,0.8376581170941452,master_pdrest,,,,,,0.7719614019299034
ds004584,LogitBeta_PD_vs_CN,dev_z_spectral_slope,logit_beta,123,-0.1652581514067529,-0.4798738262383931,0.140436364775383,0.3170341482925853,age;sex_num,20000.0,2000.0,0.8376581170941452,master_pdrest,,,,,,0.7186107361298599
ds004584,AUC_PD_vs_CN,composite_deviation,auc,123,0.4892443463872035,0.3865768643345962,0.5877926356589146,0.8383080845957702,age;sex_num,20000.0,2000.0,0.9350032498375082,master_pdrest,,,,,,0.9634518274086294
ds004584,LogitBeta_PD_vs_CN,composite_deviation,logit_beta,123,-0.0683176399780976,-0.8273432282077369,0.6641089322528775,0.8527573621318935,age;sex_num,20000.0,2000.0,0.9350032498375082,master_pdrest,,,,,,0.9634518274086294
ds007020,AUC_mortality,dev_z_theta_alpha_ratio,auc,94,0.6767676767676768,0.5333675067443439,0.8138619911689818,0.0123493825308734,,20000.0,2000.0,,master_mortality,0.6767676767676768,baseline_logit,0.061746912654367,,,0.06997983434161593
ds007020,LogitBeta_mortality,dev_z_theta_alpha_ratio,logit_beta,94,0.5003604525324071,0.0768638095388138,1.2743882900380883,0.047797610119494,,20000.0,2000.0,,master_mortality,,baseline_logit,0.1102944852757362,,,0.2031398430078495
ds007020,AUC_mortality,dev_z_rel_alpha,auc,94,0.3655303030303031,0.23435950685654,0.5050095245937634,0.0551472426378681,,20000.0,2000.0,,master_mortality,0.6344696969696969,baseline_logit,0.1102944852757362,,,0.20833402774305726
ds007020,LogitBeta_mortality,dev_z_rel_alpha,logit_beta,94,-0.2718662653320652,-1.2066774614847615,0.2312623815512218,0.2450377481125943,,20000.0,2000.0,,master_mortality,,baseline_logit,0.3062971851407429,,,0.6408679566021698
ds007020,AUC_mortality,dev_z_spectral_slope,auc,94,0.4873737373737374,0.354459143797379,0.6166603388446622,0.8616069196540173,,20000.0,2000.0,,master_mortality,0.5126262626262625,baseline_logit,0.9106044697765112,,,0.9634518274086294
ds007020,LogitBeta_mortality,dev_z_spectral_slope,logit_beta,94,0.0251673145214503,-0.4221955596233299,0.4665420652062724,0.9106044697765112,,20000.0,2000.0,,master_mortality,,baseline_logit,0.9106044697765112,,,0.9634518274086294
ds007020,AUC_mortality,composite_deviation,auc,94,0.611111111111111,0.4851122835497835,0.7360369508336375,0.1174941252937353,,20000.0,2000.0,,master_mortality,0.611111111111111,baseline_logit,0.19582354215622552,,,0.39948002599870003
ds007020,LogitBeta_mortality,composite_deviation,logit_beta,94,0.6234337539945262,-0.1441515909116756,1.5095032793113932,0.1697915104244787,,20000.0,2000.0,,master_mortality,,baseline_logit,0.24255930060639816,,,0.5248101231302069
ds007020,AUC_mortality,leapd_index_loocv,auc,94,0.7222222222222222,0.5681277056277056,0.8540727654698244,0.0015999200039998,,20000.0,2000.0,,master_mortality,0.7222222222222222,baseline_logit,0.015999200039998,,,0.01813242671199773
ds007020,LogitBeta_mortality,leapd_index_loocv,logit_beta,94,0.9542918499856988,0.1218683003493123,1.746287647899254,0.0458977051147442,,20000.0,2000.0,,master_mortality,,baseline_logit,0.1102944852757362,,,0.2031398430078495
ds004504,AUC_AD_vs_CN,dev_z_theta_alpha_ratio,auc,65,0.7260536398467432,0.5999841437632135,0.8444461382113821,0.0021498925053747,,,,,canonical_dementia,0.7260536398467432,,,0.7260536398467432,0.0114660933619985,0.01827408629568495
ds004504,AUC_FTD_vs_CN,dev_z_theta_alpha_ratio,auc,52,0.7616191904047976,0.6236837496430356,0.886123680241327,0.0010999450027498,,,,,canonical_dementia,0.7616191904047976,,,0.7616191904047976,0.0087995600219989,0.01813242671199773
ds004504,AUC_AD_vs_FTD,dev_z_theta_alpha_ratio,auc,59,0.5060386473429952,0.3562559654664918,0.66071977009477,0.9443027848607568,,,,,canonical_dementia,0.5060386473429952,,,0.5060386473429952,0.9634518274086296,0.9634518274086294
ds004504,MMSE_regression_beta,dev_z_theta_alpha_ratio,robust_beta,88,-0.3337605093431102,-1.3240613075988767,1.2928187517574916,0.6182690865456727,,,,,canonical_dementia,,,,,0.904318420442614,0.880768461576921
ds004504,AUC_AD_vs_CN,dev_z_rel_alpha,auc,65,0.318007662835249,0.190974742891712,0.4498153409090908,0.0115994200289985,,,,,canonical_dementia,0.6819923371647509,,,0.318007662835249,0.0463976801159942,0.06997983434161593
ds004504,AUC_FTD_vs_CN,dev_z_rel_alpha,auc,52,0.2233883058470764,0.1028575838423037,0.3671322173014875,0.0004999750012499,,,,,canonical_dementia,0.7766116941529235,,,0.2233883058470764,0.007999600019999,0.016999150042496598
ds004504,AUC_AD_vs_FTD,dev_z_rel_alpha,auc,59,0.5797101449275363,0.4270405655015629,0.7260458010458011,0.3112844357782111,,,,,canonical_dementia,0.5797101449275363,,,0.5797101449275363,0.904318420442614,0.7186107361298599
ds004504,MMSE_regression_beta,dev_z_rel_alpha,robust_beta,88,0.0542331388805883,-1.367456094554882,1.3093167772287466,0.935103244837758,,,,,canonical_dementia,,,,,0.9634518274086296,0.9634518274086294
ds004504,AUC_AD_vs_CN,dev_z_spectral_slope,auc,65,0.5038314176245211,0.3619007034632034,0.6500142045454544,0.9634518274086296,,,,,canonical_dementia,0.5038314176245211,,,0.5038314176245211,0.9634518274086296,0.9634518274086294
ds004504,AUC_FTD_vs_CN,dev_z_spectral_slope,auc,52,0.5172413793103448,0.3540503472222222,0.6928055040493005,0.8384580770961452,,,,,canonical_dementia,0.5172413793103448,,,0.5172413793103448,0.9634518274086296,0.9634518274086294
ds004504,AUC_AD_vs_FTD,dev_z_spectral_slope,auc,59,0.4456521739130435,0.2994471756313862,0.6008555596151502,0.4923753812309384,,,,,canonical_dementia,0.5543478260869565,,,0.4456521739130435,0.904318420442614,0.8370381480925954
ds004504,MMSE_regression_beta,dev_z_spectral_slope,robust_beta,88,0.2429264910347232,-0.6779673812365076,0.6504480323440872,0.4684765761711914,,,,,canonical_dementia,,,,,0.904318420442614,0.8370381480925954
ds004504,AUC_AD_vs_CN,composite_deviation,auc,65,0.5229885057471264,0.3792915330759668,0.6821782369472714,0.7595120243987801,,,,,canonical_dementia,0.5229885057471264,,,0.5229885057471264,0.9634518274086296,0.9634518274086294
ds004504,AUC_FTD_vs_CN,composite_deviation,auc,52,0.5742128935532234,0.4068586405854207,0.75,0.3705814709264536,,,,,canonical_dementia,0.5742128935532234,,,0.5742128935532234,0.904318420442614,0.7719614019299034
ds004504,AUC_AD_vs_FTD,composite_deviation,auc,59,0.4565217391304347,0.3070014005602241,0.6011969461697723,0.5790710464476776,,,,,canonical_dementia,0.5434782608695652,,,0.4565217391304347,0.904318420442614,0.880768461576921
ds004504,MMSE_regression_beta,composite_deviation,robust_beta,88,0.4868415467945883,-2.009853603702381,1.8848748353225755,0.6217189140542972,,,,,canonical_dementia,,,,,0.904318420442614,0.880768461576921
